tipo;referencia;estado;carpeta_actual;carpeta_destino;accion
OPORTUNIDAD;26RES060_OP83;PTE ENVIAR;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
OPORTUNIDAD;26RES060_OP84;PTE ENVIAR;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
OPORTUNIDAD;26RES060_OP86;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES060_OP87;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES080_OP10;ENVIADA;01. OPORTUNIDADES;02. SIMULACION ENVIADA;MOVIDO
OPORTUNIDAD;26RES080_OP11;PTE ENVIAR;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
OPORTUNIDAD;26RES060_OP93;PTE ENVIAR;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
OPORTUNIDAD;26RES060_OP99;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES060_OP100;LEAD;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
OPORTUNIDAD;26RES060_OP104;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES060_OP106;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES060_OP108;PTE ENVIAR;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
OPORTUNIDAD;26RES080_OP17;PTE ENVIAR;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
OPORTUNIDAD;26RES080_OP19;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES060_OP109;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES080_OP20;PTE ENVIAR;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
OPORTUNIDAD;26RES060_OP111;PTE ENVIAR;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
OPORTUNIDAD;26RES060_OP112;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES060_OP113;LEAD;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
OPORTUNIDAD;26RES060_OP114;PTE ENVIAR;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
OPORTUNIDAD;26RES060_OP115;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES080_OP22;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES060_OP117;LEAD;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
OPORTUNIDAD;26RES060_OP118;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES080_OP24;RECHAZADA;02. SIMULACION ENVIADA;12. RECHAZADOS;MOVIDO
OPORTUNIDAD;26RES060_OP122;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES060_OP124;ENVIADA;01. OPORTUNIDADES;02. SIMULACION ENVIADA;MOVIDO
OPORTUNIDAD;26RES060_OP125;ENVIADA;01. OPORTUNIDADES;02. SIMULACION ENVIADA;MOVIDO
OPORTUNIDAD;26RES080_OP29;ENVIADA;01. OPORTUNIDADES;02. SIMULACION ENVIADA;MOVIDO
OPORTUNIDAD;26RES080_OP30;PTE ENVIAR;;;SIN CARPETA
OPORTUNIDAD;26RES060_OP128;ENVIADA;01. OPORTUNIDADES;02. SIMULACION ENVIADA;MOVIDO
OPORTUNIDAD;26RES060_OP130;ENVIADA;01. OPORTUNIDADES;02. SIMULACION ENVIADA;MOVIDO
OPORTUNIDAD;26RES060_OP132;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES060_OP133;ENVIADA;01. OPORTUNIDADES;02. SIMULACION ENVIADA;MOVIDO
OPORTUNIDAD;26RES080_OP31;PTE ENVIAR;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
OPORTUNIDAD;26RES080_OP32;ENVIADA;01. OPORTUNIDADES;02. SIMULACION ENVIADA;MOVIDO
OPORTUNIDAD;26RES060_OP137;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES080_OP34;ENVIADA;01. OPORTUNIDADES;02. SIMULACION ENVIADA;MOVIDO
OPORTUNIDAD;26RES060_OP138;ENVIADA;01. OPORTUNIDADES;02. SIMULACION ENVIADA;MOVIDO
OPORTUNIDAD;26RES060_OP140;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES060_OP141;ENVIADA;01. OPORTUNIDADES;02. SIMULACION ENVIADA;MOVIDO
OPORTUNIDAD;26RES060_OP142;ENVIADA;01. OPORTUNIDADES;02. SIMULACION ENVIADA;MOVIDO
OPORTUNIDAD;26RES060_OP143;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES060_OP144;ENVIADA;01. OPORTUNIDADES;02. SIMULACION ENVIADA;MOVIDO
OPORTUNIDAD;26RES060_OP145;ENVIADA;01. OPORTUNIDADES;02. SIMULACION ENVIADA;MOVIDO
OPORTUNIDAD;26RES060_OP146;ENVIADA;01. OPORTUNIDADES;02. SIMULACION ENVIADA;MOVIDO
OPORTUNIDAD;26RES080_OP35;PTE ENVIAR;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
OPORTUNIDAD;26RES060_OP147;PTE ENVIAR;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
OPORTUNIDAD;26RES080_OP36;LEAD;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
OPORTUNIDAD;26RES080_OP38;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES060_OP149;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES060_OP150;ENVIADA;02. SIMULACION ENVIADA;02. SIMULACION ENVIADA;YA OK
OPORTUNIDAD;26RES060_OP151;LEAD;01. OPORTUNIDADES;01. OPORTUNIDADES;YA OK
